timestamp,symbol,side,entry_price,exit_time,exit_price,size,pnl,return_pct
2025-12-28 21:11:00,BTCUSDT,BUY,87522.1,,,2,,
2025-12-28 21:21:00,BTCUSDT,SELL,87522.1,2025-12-28 21:21:00,87530.75,2,17.29999999998836,0.009883218067208155
2025-12-28 21:29:00,BTCUSDT,BUY,87538.73,,,2,,
2025-12-28 21:36:00,BTCUSDT,SELL,87538.73,2025-12-28 21:36:00,87592.66,2,107.86000000001513,0.061607016688514094
2025-12-28 21:40:00,BTCUSDT,BUY,87576.11,,,2,,
2025-12-28 21:44:00,BTCUSDT,SELL,87576.11,2025-12-28 21:44:00,87587.22,2,22.220000000001164,0.012686108117843098
2025-12-28 21:45:00,BTCUSDT,BUY,87587.22,,,2,,
2025-12-28 21:51:00,BTCUSDT,SELL,87587.22,2025-12-28 21:51:00,87580.5,2,-13.440000000002328,-0.0076723521993282695
2025-12-28 21:52:00,BTCUSDT,BUY,87580.5,,,2,,
2025-12-28 22:05:00,BTCUSDT,SELL,87580.5,2025-12-28 22:05:00,87566.22,2,-28.55999999999767,-0.016304999400551523
2025-12-28 22:06:00,BTCUSDT,BUY,87566.22,,,2,,
2025-12-28 22:27:00,BTCUSDT,SELL,87566.22,2025-12-28 22:27:00,87596.4,2,60.35999999998603,0.03446534519817579
2025-12-28 22:31:00,BTCUSDT,BUY,87590.8,,,2,,
2025-12-28 22:35:00,BTCUSDT,SELL,87590.8,2025-12-28 22:35:00,87599.24,2,16.880000000004657,0.009635715166433911
2025-12-28 22:36:00,BTCUSDT,BUY,87599.23,,,2,,
2025-12-28 22:49:00,BTCUSDT,SELL,87599.23,2025-12-28 22:49:00,87826.35,2,454.2400000000198,0.25927168537898115
2025-12-28 22:57:00,BTCUSDT,BUY,87918.47,,,2,,
2025-12-28 22:58:00,BTCUSDT,SELL,87918.47,2025-12-28 22:58:00,87914.17,2,-8.60000000000582,-0.004890894939368895
2025-12-28 22:59:00,BTCUSDT,BUY,87900.09,,,2,,
2025-12-28 23:00:00,BTCUSDT,SELL,87900.09,2025-12-28 23:00:00,87917.8,2,35.420000000012806,0.02014787470638879
2025-12-28 23:01:00,BTCUSDT,BUY,87826.35,,,2,,
2025-12-28 23:24:00,BTCUSDT,SELL,87826.35,2025-12-28 23:24:00,87745.1,2,-162.5,-0.09251209915930314
2025-12-28 23:25:00,BTCUSDT,BUY,87725.38,,,2,,
2025-12-28 23:44:00,BTCUSDT,SELL,87725.38,2025-12-28 23:44:00,87821.23,2,191.69999999998254,0.1092614246869017
2025-12-28 23:52:00,BTCUSDT,BUY,87882.41,,,2,,
2025-12-29 00:02:00,BTCUSDT,SELL,87882.41,2025-12-29 00:02:00,87844.2,2,-76.4200000000128,-0.04347855276158885
2025-12-29 00:03:00,BTCUSDT,BUY,87841.08,,,2,,
2025-12-29 00:15:00,BTCUSDT,SELL,87841.08,2025-12-29 00:15:00,87858.0,2,33.83999999999651,0.019262058253377567
2025-12-29 00:16:00,BTCUSDT,BUY,87873.76,,,2,,
2025-12-29 00:31:00,BTCUSDT,SELL,87873.76,2025-12-29 00:31:00,88177.35,2,607.1800000000221,0.3454842492229826
2025-12-29 00:33:00,BTCUSDT,BUY,88107.03,,,2,,
2025-12-29 00:35:00,BTCUSDT,SELL,88107.03,2025-12-29 00:35:00,88283.75,2,353.4400000000023,0.2005742334068028
2025-12-29 00:36:00,BTCUSDT,BUY,88155.09,,,2,,
2025-12-29 00:40:00,BTCUSDT,SELL,88155.09,2025-12-29 00:40:00,88226.11,2,142.04000000000815,0.08056256309194598
2025-12-29 00:41:00,BTCUSDT,BUY,88208.14,,,2,,
2025-12-29 00:55:00,BTCUSDT,SELL,88208.14,2025-12-29 00:55:00,88300.0,2,183.72000000000116,0.10414004875287652
2025-12-29 00:56:00,BTCUSDT,BUY,88260.0,,,2,,
2025-12-29 01:02:00,BTCUSDT,SELL,88260.0,2025-12-29 01:02:00,88119.32,2,-281.35999999998603,-0.159392703376382
2025-12-29 01:03:00,BTCUSDT,BUY,88100.0,,,2,,
2025-12-29 01:15:00,BTCUSDT,SELL,88100.0,2025-12-29 01:15:00,87954.03,2,-291.9400000000023,-0.16568671963678172
2025-12-29 01:18:00,BTCUSDT,BUY,88018.19,,,2,,
2025-12-29 01:32:00,BTCUSDT,SELL,88018.19,2025-12-29 01:32:00,88027.14,2,17.89999999999418,0.010168352700734573
2025-12-29 01:33:00,BTCUSDT,BUY,88049.65,,,2,,
2025-12-29 01:41:00,BTCUSDT,SELL,88049.65,2025-12-29 01:41:00,88464.25,2,829.2000000000116,0.47087069624922595
2025-12-29 01:42:00,BTCUSDT,BUY,88364.86,,,2,,
2025-12-29 01:55:00,BTCUSDT,SELL,88364.86,2025-12-29 01:55:00,88399.53,2,69.33999999999651,0.039235053391140084
2025-12-29 01:56:00,BTCUSDT,BUY,88461.98,,,2,,
2025-12-29 02:06:00,BTCUSDT,SELL,88461.98,2025-12-29 02:06:00,89106.78,2,1289.6000000000058,0.7289007096608069
2025-12-29 02:09:00,BTCUSDT,BUY,89046.0,,,2,,
2025-12-29 02:11:00,BTCUSDT,SELL,89046.0,2025-12-29 02:11:00,89185.85,2,279.70000000001164,0.15705365766010004
2025-12-29 02:14:00,BTCUSDT,BUY,89238.69,,,2,,
2025-12-29 02:19:00,BTCUSDT,SELL,89238.69,2025-12-29 02:19:00,89032.76,2,-411.86000000001513,-0.2307631364826257
2025-12-29 02:20:00,BTCUSDT,BUY,89040.7,,,2,,
2025-12-29 02:36:00,BTCUSDT,SELL,89040.7,2025-12-29 02:36:00,89064.92,2,48.44000000000233,0.027201044016944564
2025-12-29 02:37:00,BTCUSDT,BUY,89070.15,,,2,,
2025-12-29 02:57:00,BTCUSDT,SELL,89070.15,2025-12-29 02:57:00,89184.16,2,228.02000000001863,0.1280002335238173
2025-12-29 02:58:00,BTCUSDT,BUY,89194.57,,,2,,
